temp,spCond,pH,ODO,turb,fDOM,CHL,NO3,cluster,SUBcluster
14.538,197.39,7.59,103.59,11.26,26.15,0.89,17.53,2,3
14.537,197.37,7.59,103.58,11.28,26.15,0.87,17.74,2,3
14.537,197.35,7.59,103.58,11.34,26.16,0.87,17.77,2,3
14.54,197.3,7.59,103.54,11.35,26.23,0.85,17.72,2,3
14.539,197.33,7.58,103.49,11.38,26.24,0.87,17.74,2,3
14.539,197.34,7.58,103.48,11.32,26.23,0.86,17.62,2,3
14.538,197.35,7.58,103.48,11.32,26.23,0.87,17.73,2,3
14.537,197.34,7.58,103.47,11.29,26.24,0.88,17.79,2,3
14.537,197.35,7.58,103.47,11.27,26.23,0.88,17.76,2,3
14.536,197.36,7.58,103.46,11.24,26.22,0.88,17.6,2,3
14.536,197.36,7.58,103.46,11.21,26.21,0.88,17.89,2,3
14.535,197.36,7.58,103.46,11.21,26.21,0.88,17.79,2,3
14.535,197.34,7.58,103.45,11.19,26.21,0.87,17.89,2,3
14.535,197.32,7.58,103.45,11.17,26.2,0.88,17.9,2,3
14.535,197.33,7.58,103.45,11.16,26.19,0.87,17.84,2,3
14.535,197.34,7.58,103.44,11.16,26.2,0.89,17.77,2,3
14.535,197.35,7.58,103.44,11.12,26.18,0.9,17.77,2,3
14.535,197.32,7.58,103.44,11.13,26.18,0.89,17.82,2,3
14.535,197.32,7.58,103.44,11.11,26.18,0.88,17.55,2,3
14.536,197.3,7.58,103.43,11.15,26.19,0.87,17.83,2,3
14.537,197.31,7.58,103.42,11.22,26.21,0.87,17.81,2,3
14.538,197.29,7.58,103.42,11.14,26.23,0.87,17.68,2,3
14.539,197.3,7.58,103.41,11.14,26.22,0.86,17.74,2,3
14.54,197.32,7.58,103.41,11.14,26.22,0.85,17.84,2,3
14.542,197.28,7.58,103.4,11.12,26.23,0.85,17.77,2,3
14.543,197.25,7.58,103.4,11.08,26.24,0.84,17.64,2,3
14.544,197.21,7.58,103.4,11.01,26.26,0.84,17.67,2,3
14.544,197.19,7.58,103.39,10.99,26.27,0.84,17.86,2,3
14.545,197.15,7.58,103.4,10.97,26.28,0.83,17.73,2,3
14.546,197.15,7.58,103.4,11.04,26.27,0.82,17.71,2,3
14.547,197.11,7.58,103.4,11.06,26.25,0.83,17.67,2,3
14.548,197.12,7.58,103.41,11.02,26.25,0.82,17.82,2,3
14.55,197.13,7.58,103.41,10.98,26.26,0.82,17.78,2,3
14.551,197.14,7.58,103.41,10.96,26.25,0.82,17.69,2,3
14.552,197.16,7.58,103.42,10.95,26.23,0.83,17.76,2,3
14.553,197.13,7.58,103.41,10.93,26.23,0.83,17.7,2,3
14.553,197.11,7.58,103.4,10.88,26.21,0.84,17.69,2,3
14.551,197.07,7.58,103.4,10.89,26.18,0.85,17.82,2,3
14.548,197.06,7.58,103.39,10.99,26.19,0.85,17.61,2,3
14.545,197.04,7.58,103.37,11.06,26.21,0.83,17.86,2,3
14.542,197.03,7.58,103.36,11.17,26.22,0.85,17.74,2,3
14.539,196.97,7.58,103.34,11.18,26.2,0.84,17.69,2,3
14.537,196.92,7.58,103.34,11.24,26.17,0.82,17.72,2,3
14.536,196.92,7.58,103.33,11.35,26.17,0.82,17.79,2,3
14.537,196.93,7.58,103.33,11.36,26.16,0.83,17.68,2,3
14.537,196.9,7.58,103.32,11.3,26.17,0.81,17.74,2,3
14.537,196.89,7.58,103.31,11.33,26.18,0.82,17.78,2,3
14.537,196.99,7.58,103.3,11.27,26.2,0.85,17.68,2,3
14.537,197.07,7.58,103.29,11.32,26.18,0.89,17.79,2,3
14.537,197.11,7.58,103.28,11.4,26.17,0.88,17.63,2,3
14.537,197.15,7.58,103.27,11.41,26.16,0.89,17.73,2,3
14.537,197.12,7.58,103.27,11.41,26.17,0.89,17.77,2,3
14.541,197.07,7.58,103.29,11.31,26.19,0.87,17.8,2,3
14.552,197.03,7.58,103.33,11.22,26.19,0.86,17.9,2,3
14.566,197.1,7.58,103.38,11.13,26.22,0.87,17.82,2,3
14.567,197.08,7.58,103.39,11.07,26.21,0.87,17.78,2,3
14.566,197.09,7.58,103.39,11.14,26.2,0.87,17.93,2,3
14.562,197.02,7.58,103.38,11.15,26.19,0.86,17.68,2,3
14.559,196.98,7.58,103.36,11.21,26.17,0.87,17.81,2,3
14.555,196.98,7.58,103.34,11.29,26.17,0.9,17.87,2,3
14.552,196.96,7.58,103.32,11.36,26.19,0.92,17.94,2,3
14.549,196.9,7.58,103.3,11.39,26.17,0.93,17.96,2,3
14.546,196.89,7.58,103.29,11.36,26.17,0.94,17.87,2,3
14.545,196.89,7.58,103.28,11.33,26.17,0.95,17.82,2,3
14.545,196.86,7.58,103.27,11.37,26.18,0.92,17.71,2,3
14.544,196.84,7.58,103.26,11.44,26.19,0.9,17.93,2,3
14.543,196.79,7.58,103.26,11.4,26.2,0.88,17.79,2,3
14.543,196.8,7.58,103.25,11.44,26.19,0.88,17.98,2,3
14.542,196.81,7.58,103.24,11.45,26.18,0.89,17.84,2,3
14.542,196.75,7.58,103.24,11.52,26.2,0.89,17.98,2,3
14.543,196.76,7.58,103.23,11.52,26.22,0.89,17.7,2,3
14.544,196.77,7.58,103.23,11.43,26.26,0.89,17.74,2,3
14.545,196.77,7.58,103.23,11.35,26.25,0.88,17.95,2,3
14.547,196.76,7.58,103.22,11.3,26.24,0.87,17.81,2,3
14.548,196.72,7.58,103.23,11.19,26.24,0.87,17.71,2,3
14.549,196.71,7.58,103.23,11.2,26.24,0.87,17.75,2,3
14.551,196.7,7.58,103.23,11.16,26.23,0.89,17.81,2,3
14.552,196.71,7.58,103.23,11.28,26.24,0.9,17.7,2,3
14.554,196.73,7.58,103.23,11.32,26.25,0.91,17.89,2,3
14.555,196.73,7.58,103.24,11.47,26.23,0.89,17.81,2,3
14.558,196.74,7.58,103.25,11.55,26.22,0.9,17.89,2,3
14.56,196.74,7.58,103.25,11.52,26.21,0.89,17.89,2,3
14.561,196.76,7.58,103.26,11.56,26.19,0.88,17.81,2,3
14.562,196.7,7.58,103.26,11.51,26.19,0.87,17.85,2,3
14.564,196.66,7.58,103.27,11.35,26.17,0.84,17.75,2,3
14.565,196.65,7.58,103.27,11.28,26.16,0.85,17.95,2,3
14.567,196.65,7.58,103.28,11.26,26.16,0.85,17.86,2,3
14.568,196.65,7.58,103.28,11.2,26.15,0.83,17.81,2,3
14.569,196.69,7.58,103.27,11.14,26.16,0.81,17.83,2,3
14.57,196.72,7.58,103.27,11.11,26.17,0.84,17.83,2,3
14.57,196.72,7.58,103.27,11.15,26.16,0.85,17.8,2,3
14.569,196.78,7.58,103.26,11.22,26.15,0.85,17.98,2,3
14.569,196.74,7.58,103.25,11.28,26.15,0.88,17.91,2,3
14.569,196.75,7.58,103.25,11.32,26.16,0.91,17.81,2,3
14.569,196.77,7.58,103.25,11.35,26.17,0.92,17.94,2,3
14.57,196.72,7.58,103.25,11.35,26.15,0.91,17.85,2,3
14.571,196.87,7.58,103.2,11.34,26.18,0.84,17.82,2,3
14.574,196.84,7.58,103.2,11.27,26.21,0.83,17.88,2,3
14.58,196.73,7.58,103.21,11.25,26.24,0.81,17.9,2,3
14.581,196.66,7.58,103.21,11.21,26.22,0.8,17.92,2,3
14.582,196.67,7.58,103.21,11.3,26.24,0.82,17.9,2,3
14.583,196.61,7.58,103.21,11.32,26.24,0.83,17.97,2,3
